family,Scientific Name
Rhizopogonaceae,Rhizopogon
Marasmiaceae,Rhodocollybia
Entolomataceae,Rhodocybe
Physalacriaceae,Rhodotus
Rhytismataceae,Rhytisma
Boletaceae,Rubinoboletus
Boletaceae,Rubroboletus
Lyophyllaceae,Rugosomyces
Russulaceae,Russula
Bankeraceae,Sarcodon
Marasmiaceae,Sarcomyxa
Sarcoscyphaceae,Sarcoscypha
Schizophyllaceae,Schizophyllum
Sclerodermataceae,Scleroderma
Pyronemataceae,Scutellinia
Polyporaceae,Skeletocutis
Sparassidaceae,Sparassis
Cudoniaceae,Spathularia
Mucoraceae,Spinellus
Tricholomataceae,Squamanita
Meruliaceae,Steccherinum
Stereaceae,Stereum
Boletaceae,Strobilomyces
Strophariaceae,Stropharia
Boletaceae,Suillellus
Suillaceae,Suillus
Tapinellaceae,Tapinella
Pyronemataceae,Tarzetta
Phanerochaetaceae,Terana
Thelephoraceae,Thelephora
Polyporaceae,Trametes
Tremellaceae,Tremella
Polyporaceae,Trichaptum
Hypocreaceae,Trichoderma
Geoglossaceae,Trichoglossum
Tricholomataceae,Tricholoma
Tricholomataceae,Tricholomopsis
Inocybaceae,Tubaria
Tuberaceae,Tuber
Agaricaceae,Tulostoma
Boletaceae,Tylopilus
Typhulaceae,Typhula
Pluteaceae,Volvariella
Pluteaceae,Volvopluteus
Boletaceae,Xerocomellus
Xylariaceae,Xylaria
