,kingdom,phylum,class,order,family,genus,label
68,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Unknown
69,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Non-edible
70,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Naucoria,Unknown
71,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Meottomyces,Unknown
72,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Galerina,Unknown
73,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Psilocybe,Unknown
74,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Leratiomyces,Unknown
75,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hebeloma,Non-edible
76,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Cyclocybe,Unknown
77,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Non-edible
78,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Edible
79,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Desarmillaria,Non-edible
80,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Unknown
81,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Rhodotus,Unknown
82,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Hymenopellis,Unknown
83,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Unknown
84,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Cudoniaceae,Spathularia,Unknown
85,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Sparassidaceae,Sparassis,Unknown
86,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tarzetta,Unknown
87,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Aleuria,Unknown
88,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,Unknown
89,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Otidea,Unknown
90,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Pisolithus,Unknown
91,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Non-edible
92,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Unknown
93,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Unknown
94,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,Unknown
95,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Phellodon,Unknown
96,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,Unknown
97,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Sarcodon,Non-edible
98,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Boletopsis,Unknown
99,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Edible
100,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Edible
101,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,Non-edible
102,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Clavariadelphus,Unknown
103,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Aseroe,Unknown
104,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Colus,Unknown
105,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Clathrus,Unknown
106,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,Unknown
107,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Mutinus,Unknown
108,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Non-edible
109,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Lacrymaria,Unknown
110,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Parasola,Unknown
111,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Unknown
112,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Non-edible
113,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,Unknown
114,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Non-edible
115,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvopluteus,Unknown
116,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Edible
117,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Unknown
118,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Inonotus,Unknown
119,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Fuscoporia,Unknown
