,kingdom,phylum,class,order,family,genus,label
399,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Strobilomyces,Unknown
400,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Cyanoboletus,Unknown
401,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Neoboletus,Unknown
402,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Hortiboletus,Unknown
403,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Rubroboletus,Unknown
404,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Suillellus,Unknown
405,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Leccinum,Edible
406,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Hemileccinum,Unknown
407,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Xerocomellus,Unknown
408,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Caloboletus,Unknown
409,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Buchwaldoboletus,Unknown
410,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Tylopilus,Unknown
411,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Butyriboletus,Unknown
412,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Chalciporus,Unknown
413,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Boletus,Edible
414,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Rubinoboletus,Unknown
415,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Pseudoboletus,Unknown
538,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Lanzia,Unknown
541,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Mollisia,Unknown
581,Fungi,Basidiomycota,Urediniomycetes,Uredinales,Pucciniaceae,Gymnosporangium,Unknown
589,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Spinellus,Unknown
654,Fungi,Basidiomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Rhytisma,Unknown
669,Fungi,Ascomycota,Euascomycotina,Xylariales,Xylariaceae,Hypoxylon,Unknown
670,Fungi,Ascomycota,Euascomycotina,Xylariales,Xylariaceae,Daldinia,Non-edible
671,Fungi,Ascomycota,Euascomycotina,Xylariales,Xylariaceae,Kretzschmaria,Non-edible
672,Fungi,Ascomycota,Euascomycotina,Xylariales,Xylariaceae,Poronia,Unknown
673,Fungi,Ascomycota,Euascomycotina,Xylariales,Xylariaceae,Xylaria,Non-edible
684,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Daedalea,Unknown
685,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Piptoporus,Unknown
686,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Unknown
687,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Cyanosporus,Unknown
688,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Phaeolus,Unknown
689,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Daedaleopsis,Non-edible
690,Fungi,Basidiomycetes,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Non-edible
716,Fungi,Basidiomycota,Agaricomycetes,Boletales,Diplocystidiaceae,Astraeus,Unknown
